NumberOfProcess, TotalCreationTime, TotalRSS
1000, 0.040123, 73376
1000, 0.028072, 73224
1000, 0.034037, 73448
1000, 0.047146, 73304
1000, 0.045101, 73284
1000, 0.040005, 73284
1000, 0.045943, 73388
1000, 0.037321, 73316
1000, 0.033748, 73448
1000, 0.025679, 73376
1000, 0.028655, 73284
1000, 0.026003, 73264
1000, 0.028217, 73376
1000, 0.029216, 73388
1000, 0.026563, 73228
1000, 0.035977, 73372
1000, 0.039112, 73304
1000, 0.032001, 73376
1000, 0.024365, 73300
1000, 0.037955, 73388
1000, 0.032784, 73228
1000, 0.023199, 73272
1000, 0.034296, 73300
1000, 0.026368, 73376
1000, 0.027029, 73332
1000, 0.038784, 73228
1000, 0.037336, 73388
1000, 0.025833, 73264
1000, 0.037274, 73300
1000, 0.031424, 73372
1000, 0.042818, 73272
1000, 0.041269, 73376
1000, 0.047361, 73228
1000, 0.041574, 73376
1000, 0.034953, 73332
1000, 0.029183, 73372
1000, 0.026857, 73272
1000, 0.033531, 73376
1000, 0.039335, 73304
1000, 0.032985, 73224
1000, 0.028471, 73316
1000, 0.045162, 73316
1000, 0.036874, 73316
1000, 0.046115, 73316
1000, 0.033920, 73304
1000, 0.043279, 73224
1000, 0.039513, 73228
1000, 0.024915, 73332
1000, 0.023767, 73376
1000, 0.025745, 73232
1000, 0.031083, 73388
1000, 0.028049, 73332
1000, 0.028114, 73388
1000, 0.027509, 73332
1000, 0.028997, 73388
1000, 0.027766, 73376
1000, 0.035674, 73284
1000, 0.039919, 73304
1000, 0.038984, 73372
1000, 0.036504, 73232
1000, 0.036374, 73304
1000, 0.025654, 73224
1000, 0.028965, 73376
1000, 0.031183, 73388
1000, 0.033841, 73272
1000, 0.045663, 73372
1000, 0.035983, 73272
1000, 0.028873, 73376
1000, 0.028693, 73332
1000, 0.040653, 73232
1000, 0.024709, 73388
1000, 0.037951, 73272
1000, 0.030777, 73448
1000, 0.056445, 73376
1000, 0.047679, 73228
1000, 0.036273, 73284
1000, 0.037295, 73272
1000, 0.043413, 73228
1000, 0.034575, 73388
1000, 0.025987, 73388
1000, 0.028292, 73264
1000, 0.040205, 73448
1000, 0.046403, 73232
1000, 0.033494, 73376
1000, 0.037153, 73224
1000, 0.036038, 73376
1000, 0.037982, 73264
1000, 0.037267, 73264
1000, 0.036658, 73376
1000, 0.027880, 73332
1000, 0.026484, 73272
1000, 0.037997, 73372
1000, 0.045366, 73316
1000, 0.033033, 73388
1000, 0.029750, 73284
1000, 0.039327, 73232
1000, 0.037336, 77336
1000, 0.029255, 73284
1000, 0.031529, 73376
1000, 0.023987, 73232
1000, 0.035431, 73376
2000, 0.050532, 145304
2000, 0.065104, 145388
2000, 0.077105, 145272
2000, 0.063808, 145388
2000, 0.051199, 145388
2000, 0.064869, 145448
2000, 0.054579, 145388
2000, 0.050280, 145272
2000, 0.054742, 145272
2000, 0.047682, 145376
2000, 0.058782, 145304
2000, 0.050814, 145388
2000, 0.052792, 145316
2000, 0.057784, 145372
2000, 0.085207, 145304
2000, 0.058773, 145232
2000, 0.053670, 145224
2000, 0.049166, 145388
2000, 0.070291, 145384
2000, 0.051002, 145316
2000, 0.068344, 145332
2000, 0.049612, 145388
2000, 0.057777, 145224
2000, 0.047206, 145228
2000, 0.055254, 145316
2000, 0.066862, 145388
2000, 0.077479, 145376
2000, 0.066297, 145264
2000, 0.049796, 145388
2000, 0.053238, 145304
2000, 0.055659, 145316
2000, 0.051244, 145284
2000, 0.050851, 145224
2000, 0.048284, 145388
2000, 0.048619, 145304
2000, 0.052734, 145448
2000, 0.071689, 145284
2000, 0.067232, 145316
2000, 0.051419, 153320
2000, 0.059494, 145304
2000, 0.049955, 145332
2000, 0.059549, 145300
2000, 0.060388, 145272
2000, 0.050497, 145332
2000, 0.049270, 145304
2000, 0.054546, 145316
2000, 0.078210, 145332
2000, 0.079117, 145388
2000, 0.072886, 145316
2000, 0.067771, 145284
2000, 0.083399, 145372
2000, 0.057836, 153288
2000, 0.050212, 145448
2000, 0.047861, 153276
2000, 0.076392, 145388
2000, 0.066156, 145300
2000, 0.093622, 145388
2000, 0.079683, 145388
2000, 0.077226, 145332
2000, 0.055079, 145376
2000, 0.089010, 145284
2000, 0.055654, 145316
2000, 0.052178, 145264
2000, 0.051802, 145332
2000, 0.051275, 145332
2000, 0.057678, 145224
2000, 0.058721, 145376
2000, 0.082690, 145304
2000, 0.082218, 145448
2000, 0.051051, 145300
2000, 0.057915, 145264
2000, 0.050869, 145232
2000, 0.049830, 145224
2000, 0.063780, 145228
2000, 0.070597, 145316
2000, 0.074775, 145228
2000, 0.049193, 145332
2000, 0.072081, 145232
2000, 0.091587, 145372
2000, 0.065150, 145372
2000, 0.055615, 145232
2000, 0.055843, 145284
2000, 0.080825, 145388
2000, 0.052430, 145224
2000, 0.067066, 145372
2000, 0.061298, 145316
2000, 0.049699, 145376
2000, 0.069892, 145376
2000, 0.049364, 145316
2000, 0.052002, 145388
2000, 0.082650, 145304
2000, 0.063595, 145376
2000, 0.078811, 145372
2000, 0.059171, 145228
2000, 0.064131, 145376
2000, 0.049257, 145272
2000, 0.054780, 145264
2000, 0.060812, 145388
2000, 0.056030, 145304
2000, 0.065880, 145388
2000, 0.056032, 145228
3000, 0.103399, 217304
3000, 0.072239, 217388
3000, 0.078370, 217228
3000, 0.072547, 217376
3000, 0.074483, 217300
3000, 0.074765, 217376
3000, 0.073886, 217448
3000, 0.098304, 217224
3000, 0.095120, 217448
3000, 0.079690, 217232
3000, 0.084248, 217368
3000, 0.107680, 217224
3000, 0.078151, 217264
3000, 0.078885, 217376
3000, 0.071392, 217300
3000, 0.087626, 217316
3000, 0.086362, 217264
3000, 0.097096, 217376
3000, 0.085756, 217224
3000, 0.093466, 217376
3000, 0.075538, 217376
3000, 0.108725, 217232
3000, 0.092883, 217228
3000, 0.088950, 217224
3000, 0.091410, 217388
3000, 0.097933, 217300
3000, 0.080572, 217304
3000, 0.074964, 217264
3000, 0.078920, 217444
3000, 0.110561, 217388
3000, 0.099663, 217388
3000, 0.081005, 217388
3000, 0.072715, 217284
3000, 0.075274, 229380
3000, 0.075951, 217264
3000, 0.072805, 217228
3000, 0.076204, 217388
3000, 0.089884, 217264
3000, 0.075364, 217388
3000, 0.149453, 217332
3000, 0.111142, 217372
3000, 0.083205, 217300
3000, 0.114088, 217376
3000, 0.074481, 217284
3000, 0.082472, 217304
3000, 0.078994, 217316
3000, 0.073161, 217448
3000, 0.080674, 217388
3000, 0.073847, 217388
3000, 0.096814, 217448
3000, 0.079252, 217300
3000, 0.085578, 217376
3000, 0.085647, 217448
3000, 0.094353, 217332
3000, 0.092021, 229304
3000, 0.073555, 217388
3000, 0.100951, 217224
3000, 0.115976, 217300
3000, 0.113696, 217376
3000, 0.085804, 217332
3000, 0.105954, 217372
3000, 0.080471, 217300
3000, 0.073356, 217232
3000, 0.102561, 217316
3000, 0.127449, 217316
3000, 0.107403, 217228
3000, 0.083587, 217388
3000, 0.106485, 217376
3000, 0.085730, 217372
3000, 0.083068, 217448
3000, 0.085176, 217376
3000, 0.082682, 217376
3000, 0.106790, 217388
3000, 0.098381, 217284
3000, 0.100883, 217376
3000, 0.092868, 217264
3000, 0.075680, 217264
3000, 0.079948, 217232
3000, 0.103933, 217388
3000, 0.089965, 217300
3000, 0.084962, 217300
3000, 0.086657, 217372
3000, 0.105514, 217264
3000, 0.076331, 217304
3000, 0.096020, 217376
3000, 0.095131, 217376
3000, 0.085044, 217300
3000, 0.093063, 217284
3000, 0.077965, 217376
3000, 0.095525, 217272
3000, 0.074154, 217228
3000, 0.074020, 217388
3000, 0.091491, 217376
3000, 0.082769, 217300
3000, 0.070250, 217376
3000, 0.073857, 229376
3000, 0.082016, 217388
3000, 0.074876, 217448
3000, 0.072718, 217228
3000, 0.074090, 217272
3000, 0.085581, 217304
4000, 0.113570, 289388
4000, 0.094826, 289624
4000, 0.101765, 289372
4000, 0.104560, 289376
4000, 0.103800, 289388
4000, 0.115389, 289628
4000, 0.103332, 289648
4000, 0.096171, 289704
4000, 0.132825, 289704
4000, 0.111193, 289224
4000, 0.098983, 289232
4000, 0.102128, 289332
4000, 0.103725, 289376
4000, 0.101030, 289624
4000, 0.103493, 289624
4000, 0.098639, 289332
4000, 0.110661, 289372
4000, 0.099246, 289264
4000, 0.098219, 289376
4000, 0.110886, 289388
4000, 0.107978, 289372
4000, 0.110681, 289660
4000, 0.117652, 289224
4000, 0.108489, 289232
4000, 0.097760, 289224
4000, 0.100964, 289232
4000, 0.095334, 289224
4000, 0.113365, 289700
4000, 0.104846, 289376
4000, 0.109027, 289652
4000, 0.096662, 289700
4000, 0.098941, 289700
4000, 0.102049, 289704
4000, 0.101017, 289700
4000, 0.098550, 289332
4000, 0.126809, 289228
4000, 0.121233, 289652
4000, 0.113039, 289700
4000, 0.100508, 289372
4000, 0.108026, 289232
4000, 0.106432, 305644
4000, 0.112147, 289376
4000, 0.105586, 289304
4000, 0.097945, 289228
4000, 0.130448, 289656
4000, 0.109746, 289708
4000, 0.107939, 289700
4000, 0.098975, 289332
4000, 0.099134, 289284
4000, 0.106559, 289224
4000, 0.109393, 289648
4000, 0.107299, 289304
4000, 0.107592, 289372
4000, 0.103260, 289624
4000, 0.097843, 289304
4000, 0.121577, 289624
4000, 0.094808, 289700
4000, 0.129486, 289652
4000, 0.114097, 289388
4000, 0.112796, 289224
4000, 0.107074, 289332
4000, 0.102494, 289372
4000, 0.110420, 289652
4000, 0.105366, 289624
4000, 0.109031, 289624
4000, 0.105964, 289388
4000, 0.101071, 305656
4000, 0.108336, 289640
4000, 0.093623, 289224
4000, 0.104582, 289704
4000, 0.106113, 289332
4000, 0.108504, 289376
4000, 0.104699, 289372
4000, 0.108974, 289332
4000, 0.112355, 289656
4000, 0.113790, 289304
4000, 0.104048, 289300
4000, 0.095437, 289304
4000, 0.114382, 289376
4000, 0.111465, 289228
4000, 0.108977, 289232
4000, 0.109007, 289332
4000, 0.115627, 289304
4000, 0.121094, 289660
4000, 0.103213, 289372
4000, 0.114936, 289700
4000, 0.105082, 289224
4000, 0.097537, 289700
4000, 0.117318, 289284
4000, 0.110226, 289652
4000, 0.107040, 289304
4000, 0.098001, 289332
4000, 0.101474, 289228
4000, 0.096438, 289624
4000, 0.112333, 289648
4000, 0.099046, 289332
4000, 0.093444, 289708
4000, 0.095823, 289228
4000, 0.098906, 289624
4000, 0.104796, 289388
4000, 0.100404, 289388
5000, 0.136824, 361500
5000, 0.137603, 361352
5000, 0.137297, 361372
5000, 0.132320, 361500
5000, 0.133607, 361392
5000, 0.139480, 361336
5000, 0.137101, 361432
5000, 0.127353, 381464
5000, 0.124745, 361288
5000, 0.119963, 361352
5000, 0.145454, 361376
5000, 0.160419, 361288
5000, 0.140467, 361368
5000, 0.127868, 361508
5000, 0.138607, 361448
5000, 0.130556, 361456
5000, 0.120274, 361508
5000, 0.127848, 361448
5000, 0.137139, 361380
5000, 0.133567, 361360
5000, 0.135402, 361380
5000, 0.125673, 361360
5000, 0.136184, 361336
5000, 0.134603, 361432
5000, 0.143423, 361232
5000, 0.120554, 361336
5000, 0.128117, 361396
5000, 0.158860, 361352
5000, 0.157235, 361440
5000, 0.163427, 361272
5000, 0.124776, 361360
5000, 0.134036, 361460
5000, 0.129697, 361360
5000, 0.165486, 361348
5000, 0.129925, 361360
5000, 0.126629, 361392
5000, 0.130802, 361376
5000, 0.137117, 361456
5000, 0.129239, 361440
5000, 0.125784, 361448
5000, 0.126547, 361392
5000, 0.148823, 361448
5000, 0.154182, 361380
5000, 0.165262, 361500
5000, 0.120327, 361396
5000, 0.127229, 361440
5000, 0.131175, 361508
5000, 0.123870, 361356
5000, 0.147715, 381416
5000, 0.152047, 361448
5000, 0.124634, 361440
5000, 0.124459, 361448
5000, 0.127629, 361412
5000, 0.125427, 361360
5000, 0.130605, 361360
5000, 0.142773, 361436
5000, 0.144121, 361224
5000, 0.130343, 361376
5000, 0.127160, 361448
5000, 0.150245, 361360
5000, 0.144821, 361400
5000, 0.124587, 361440
5000, 0.124203, 361440
5000, 0.126304, 361440
5000, 0.134129, 361440
5000, 0.123995, 361296
5000, 0.125800, 361380
5000, 0.122423, 361508
5000, 0.153628, 361316
5000, 0.128417, 361508
5000, 0.135849, 361228
5000, 0.124339, 361328
5000, 0.125193, 361328
5000, 0.138493, 361440
5000, 0.127809, 361360
5000, 0.133719, 361448
5000, 0.125693, 361508
5000, 0.133586, 361448
5000, 0.128225, 361368
5000, 0.133467, 361368
5000, 0.122613, 361396
5000, 0.119519, 361508
5000, 0.136428, 361432
5000, 0.131190, 361376
5000, 0.148552, 361448
5000, 0.150006, 361364
5000, 0.152276, 361456
5000, 0.143091, 361360
5000, 0.162646, 361436
5000, 0.122810, 361508
5000, 0.129418, 361448
5000, 0.141722, 361368
5000, 0.150787, 361448
5000, 0.140469, 361296
5000, 0.150326, 361360
5000, 0.127148, 361412
5000, 0.121188, 361412
5000, 0.156774, 361364
5000, 0.129142, 361352
5000, 0.148722, 361332
5000, 0.122052, 361448
6000, 0.161731, 433372
6000, 0.177545, 433224
6000, 0.171457, 433228
6000, 0.165393, 433228
6000, 0.171839, 433332
6000, 0.162899, 433292
6000, 0.168181, 433376
6000, 0.162986, 433316
6000, 0.141483, 433300
6000, 0.160601, 433304
6000, 0.144088, 433264
6000, 0.156406, 433300
6000, 0.154767, 433448
6000, 0.160050, 433448
6000, 0.159495, 433304
6000, 0.145072, 433232
6000, 0.152214, 433316
6000, 0.142646, 433376
6000, 0.152254, 433232
6000, 0.145037, 433372
6000, 0.160157, 457232
6000, 0.175003, 433304
6000, 0.152134, 433388
6000, 0.155403, 433264
6000, 0.149891, 433232
6000, 0.153356, 433284
6000, 0.151677, 433264
6000, 0.152464, 433284
6000, 0.145535, 433304
6000, 0.153369, 433372
6000, 0.147698, 433388
6000, 0.146797, 433388
6000, 0.156310, 433300
6000, 0.159700, 433392
6000, 0.178549, 433448
6000, 0.151373, 433300
6000, 0.140084, 433228
6000, 0.142421, 433232
6000, 0.149190, 433448
6000, 0.139664, 433448
6000, 0.149091, 433448
6000, 0.149070, 433388
6000, 0.149492, 433304
6000, 0.154849, 433368
6000, 0.166235, 433448
6000, 0.149158, 433272
6000, 0.141592, 433264
6000, 0.158648, 433388
6000, 0.145364, 433388
6000, 0.144767, 433228
6000, 0.161685, 433284
6000, 0.157617, 433224
6000, 0.153098, 433284
6000, 0.158737, 433388
6000, 0.146098, 433332
6000, 0.152353, 433224
6000, 0.148009, 433300
6000, 0.135998, 433372
6000, 0.141782, 433388
6000, 0.142727, 433388
6000, 0.159410, 433388
6000, 0.156844, 433228
6000, 0.160086, 433272
6000, 0.146608, 433388
6000, 0.150618, 433376
6000, 0.149441, 433388
6000, 0.141844, 433376
6000, 0.155157, 433300
6000, 0.140780, 433300
6000, 0.157190, 433232
6000, 0.166768, 433304
6000, 0.162357, 433228
6000, 0.150706, 433284
6000, 0.154916, 433372
6000, 0.144919, 433228
6000, 0.155035, 433300
6000, 0.152956, 433272
6000, 0.142262, 433332
6000, 0.162510, 433372
6000, 0.142363, 433388
6000, 0.143450, 433376
6000, 0.141082, 433388
6000, 0.141460, 433332
6000, 0.146716, 433264
6000, 0.155215, 433304
6000, 0.143578, 433376
6000, 0.146545, 433228
6000, 0.146722, 433264
6000, 0.143073, 433332
6000, 0.157069, 433344
6000, 0.145281, 433300
6000, 0.143149, 433376
6000, 0.157827, 433388
6000, 0.147797, 433376
6000, 0.146066, 433372
6000, 0.141584, 433316
6000, 0.153157, 433372
6000, 0.159535, 433224
6000, 0.172921, 433232
6000, 0.185193, 433232
6000, 0.172010, 433388
7000, 0.171645, 505264
7000, 0.170888, 505448
7000, 0.164938, 505284
7000, 0.186071, 505300
7000, 0.178586, 505304
7000, 0.169040, 505264
7000, 0.168824, 505448
7000, 0.168951, 505264
7000, 0.187977, 505376
7000, 0.169641, 505332
7000, 0.172654, 505372
7000, 0.167683, 505332
7000, 0.167857, 505284
7000, 0.169748, 505304
7000, 0.172472, 533228
7000, 0.167880, 505228
7000, 0.169973, 505232
7000, 0.172731, 505300
7000, 0.169991, 505224
7000, 0.191507, 505264
7000, 0.168515, 505284
7000, 0.167864, 505284
7000, 0.188829, 505376
7000, 0.171915, 505232
7000, 0.171636, 505388
7000, 0.183811, 505228
7000, 0.170121, 505232
7000, 0.169402, 505316
7000, 0.169175, 505388
7000, 0.173504, 505316
7000, 0.170601, 505376
7000, 0.167010, 505376
7000, 0.172217, 505272
7000, 0.181784, 505316
7000, 0.175733, 505372
7000, 0.167995, 505440
7000, 0.189250, 533336
7000, 0.179851, 505388
7000, 0.177060, 505300
7000, 0.177595, 505224
7000, 0.171639, 505332
7000, 0.178310, 505388
7000, 0.168049, 505388
7000, 0.176369, 505448
7000, 0.172493, 505264
7000, 0.172481, 505376
7000, 0.171817, 505228
7000, 0.167620, 505300
7000, 0.174660, 505304
7000, 0.168700, 505448
7000, 0.167506, 505388
7000, 0.169089, 505284
7000, 0.169524, 505316
7000, 0.165549, 505284
7000, 0.174685, 505376
7000, 0.168944, 505388
7000, 0.169444, 505304
7000, 0.175993, 505332
7000, 0.168659, 505388
7000, 0.178190, 505272
7000, 0.173674, 505300
7000, 0.174655, 505232
7000, 0.168285, 505272
7000, 0.171272, 505300
7000, 0.173781, 505448
7000, 0.171266, 505300
7000, 0.169143, 505264
7000, 0.173191, 505304
7000, 0.193097, 505388
7000, 0.185667, 505372
7000, 0.175972, 505264
7000, 0.171695, 505376
7000, 0.169297, 505300
7000, 0.172698, 505376
7000, 0.167720, 505228
7000, 0.171627, 505224
7000, 0.169223, 533376
7000, 0.168252, 533452
7000, 0.190773, 505232
7000, 0.164312, 505376
7000, 0.179513, 505376
7000, 0.180427, 505448
7000, 0.183926, 505316
7000, 0.187147, 505376
7000, 0.165933, 505448
7000, 0.178352, 505284
7000, 0.172347, 505376
7000, 0.173589, 505316
7000, 0.171325, 505332
7000, 0.167157, 505304
7000, 0.172368, 505376
7000, 0.170517, 505232
7000, 0.170029, 505372
7000, 0.168144, 533308
7000, 0.166649, 505316
7000, 0.171424, 505376
7000, 0.172388, 505388
7000, 0.175862, 505376
7000, 0.173333, 505332
7000, 0.167266, 505228
7000, 0.175066, 505272
8000, 0.195702, 577376
8000, 0.201287, 577228
8000, 0.191631, 577316
8000, 0.193500, 577224
8000, 0.195841, 609288
8000, 0.189475, 577304
8000, 0.191342, 577228
8000, 0.190966, 577388
8000, 0.196741, 577448
8000, 0.197515, 577376
8000, 0.200343, 577232
8000, 0.194657, 577332
8000, 0.193805, 577224
8000, 0.193888, 577284
8000, 0.191402, 577376
8000, 0.195935, 577232
8000, 0.196339, 577388
8000, 0.189331, 577376
8000, 0.198340, 577224
8000, 0.198478, 577228
8000, 0.184423, 577228
8000, 0.197733, 577388
8000, 0.198991, 577228
8000, 0.197147, 577264
8000, 0.201736, 577300
8000, 0.197979, 577232
8000, 0.199336, 577372
8000, 0.198652, 577272
8000, 0.198306, 609320
8000, 0.194201, 577224
8000, 0.195230, 577388
8000, 0.198519, 577272
8000, 0.189949, 577284
8000, 0.194497, 577388
8000, 0.207159, 577372
8000, 0.184953, 577272
8000, 0.188187, 577332
8000, 0.205326, 577332
8000, 0.198764, 577224
8000, 0.183350, 577232
8000, 0.196681, 577388
8000, 0.190657, 577332
8000, 0.192424, 577388
8000, 0.187870, 577372
8000, 0.194092, 577388
8000, 0.207295, 577372
8000, 0.194732, 577448
8000, 0.191331, 577376
8000, 0.195793, 577228
8000, 0.189885, 577224
8000, 0.193441, 577272
8000, 0.195745, 577388
8000, 0.195471, 577264
8000, 0.198781, 577232
8000, 0.187160, 577224
8000, 0.201883, 577304
8000, 0.191409, 577232
8000, 0.195692, 577388
8000, 0.192068, 577304
8000, 0.188874, 577224
8000, 0.191355, 577388
8000, 0.205615, 577316
8000, 0.196918, 577372
8000, 0.192200, 577228
8000, 0.202115, 577372
8000, 0.191976, 577332
8000, 0.197902, 577284
8000, 0.196101, 577376
8000, 0.190398, 577232
8000, 0.195369, 609236
8000, 0.192646, 577232
8000, 0.197293, 577376
8000, 0.191168, 577228
8000, 0.191079, 577376
8000, 0.197564, 577304
8000, 0.198713, 577376
8000, 0.193894, 577376
8000, 0.193587, 577388
8000, 0.199769, 577448
8000, 0.197349, 577376
8000, 0.202816, 577300
8000, 0.195639, 577376
8000, 0.201873, 577264
8000, 0.200159, 577376
8000, 0.192284, 577264
8000, 0.199128, 577260
8000, 0.193169, 577232
8000, 0.194768, 577228
8000, 0.195989, 577372
8000, 0.206956, 577388
8000, 0.192420, 577448
8000, 0.195455, 577316
8000, 0.190021, 577376
8000, 0.199438, 577272
8000, 0.207270, 577376
8000, 0.193379, 577388
8000, 0.194002, 577228
8000, 0.197484, 577228
8000, 0.195982, 577388
8000, 0.200386, 577284
8000, 0.191340, 577284
9000, 0.216742, 649284
9000, 0.223437, 649332
9000, 0.217667, 649232
9000, 0.215743, 649388
9000, 0.218490, 649232
9000, 0.220662, 649388
9000, 0.222202, 649284
9000, 0.218567, 649264
9000, 0.227185, 649448
9000, 0.213765, 649448
9000, 0.213703, 649448
9000, 0.257576, 649304
9000, 0.218448, 594040
9000, 0.220958, 649388
9000, 0.216563, 649388
9000, 0.220960, 685236
9000, 0.216346, 649376
9000, 0.234293, 649588
9000, 0.220382, 649228
9000, 0.217297, 649232
9000, 0.217723, 649316
9000, 0.216503, 649228
9000, 0.222860, 649372
9000, 0.218792, 649224
9000, 0.219034, 649376
9000, 0.222431, 649232
9000, 0.220186, 649448
9000, 0.215801, 649264
9000, 0.221985, 649376
9000, 0.221465, 648180
9000, 0.211683, 649300
9000, 0.220654, 649376
9000, 0.217351, 649388
9000, 0.220635, 649332
9000, 0.221750, 649372
9000, 0.231135, 649480
9000, 0.217559, 649376
9000, 0.220485, 649300
9000, 0.216203, 649388
9000, 0.214976, 649372
9000, 0.215970, 649388
9000, 0.217104, 649388
9000, 0.233689, 649520
9000, 0.217552, 649284
9000, 0.245372, 649584
9000, 0.230985, 649528
9000, 0.209938, 685376
9000, 0.218692, 649304
9000, 0.209546, 649388
9000, 0.216722, 649316
9000, 0.218520, 649376
9000, 0.224097, 649300
9000, 0.216255, 647752
9000, 0.218616, 649316
9000, 0.223258, 617100
9000, 0.220742, 649304
9000, 0.218720, 649224
9000, 0.233088, 649508
9000, 0.211569, 649300
9000, 0.214678, 649388
9000, 0.217884, 649448
9000, 0.220952, 649264
9000, 0.215319, 649264
9000, 0.220545, 649300
9000, 0.218161, 649264
9000, 0.219613, 649272
9000, 0.215512, 649372
9000, 0.217193, 685276
9000, 0.218046, 649372
9000, 0.223508, 649264
9000, 0.219396, 631736
9000, 0.219533, 649376
9000, 0.216600, 649376
9000, 0.221233, 649388
9000, 0.215293, 649316
9000, 0.220951, 649228
9000, 0.216734, 649300
9000, 0.213862, 649388
9000, 0.242213, 649488
9000, 0.222526, 649376
9000, 0.219018, 649388
9000, 0.226024, 649228
9000, 0.235316, 649584
9000, 0.215974, 649300
9000, 0.219704, 649264
9000, 0.219062, 649376
9000, 0.220047, 627128
9000, 0.220501, 649448
9000, 0.220985, 649316
9000, 0.220639, 649376
9000, 0.220132, 649448
9000, 0.215205, 649388
9000, 0.222041, 649388
9000, 0.218967, 649388
9000, 0.226340, 649228
9000, 0.213792, 649300
9000, 0.225147, 649228
9000, 0.226423, 649264
9000, 0.219328, 649376
9000, 0.218765, 649264
9000, 0.216700, 685392
10000, 0.247495, 721376
10000, 0.245635, 721376
10000, 0.247546, 721284
10000, 0.237585, 721228
10000, 0.245495, 656936
10000, 0.244758, 660332
10000, 0.250083, 721304
10000, 0.241407, 721232
10000, 0.237611, 721300
10000, 0.232437, 721232
10000, 0.244064, 721388
10000, 0.245698, 721448
10000, 0.244576, 652740
10000, 0.246159, 685480
10000, 0.238977, 721388
10000, 0.246439, 721272
10000, 0.241893, 721372
10000, 0.244874, 761392
10000, 0.247149, 721316
10000, 0.248701, 721228
10000, 0.244691, 636036
10000, 0.248234, 721376
10000, 0.243693, 721228
10000, 0.239738, 612596
10000, 0.240901, 721332
10000, 0.239683, 721332
10000, 0.247891, 721376
10000, 0.244643, 721372
10000, 0.243442, 634612
10000, 0.244320, 721372
10000, 0.247245, 721316
10000, 0.243901, 721388
10000, 0.243078, 721388
10000, 0.240129, 721372
10000, 0.241096, 721304
10000, 0.246604, 721376
10000, 0.249594, 664136
10000, 0.242207, 721300
10000, 0.247342, 707232
10000, 0.240386, 721224
10000, 0.244718, 721224
10000, 0.242127, 721304
10000, 0.243035, 721284
10000, 0.241033, 721304
10000, 0.249955, 646852
10000, 0.243711, 651476
10000, 0.244805, 761228
10000, 0.244454, 721224
10000, 0.261532, 721388
10000, 0.262076, 721272
10000, 0.242471, 721264
10000, 0.239916, 721448
10000, 0.244466, 655784
10000, 0.240207, 721272
10000, 0.242786, 721332
10000, 0.245954, 721264
10000, 0.244373, 721316
10000, 0.242855, 721376
10000, 0.251190, 721224
10000, 0.238369, 721448
10000, 0.247971, 666004
10000, 0.244350, 721228
10000, 0.246443, 721388
10000, 0.251393, 721304
10000, 0.246687, 721232
10000, 0.249899, 721228
10000, 0.239063, 721264
10000, 0.269565, 721388
10000, 0.239536, 657868
10000, 0.245558, 721264
10000, 0.241952, 721376
10000, 0.241110, 658416
10000, 0.243901, 721224
10000, 0.244125, 721284
10000, 0.238530, 721228
10000, 0.238092, 721228
10000, 0.241562, 661956
10000, 0.240199, 721316
10000, 0.247874, 721388
10000, 0.242242, 721284
10000, 0.247248, 721224
10000, 0.244758, 721228
10000, 0.244230, 721228
10000, 0.240869, 721372
10000, 0.240172, 670628
10000, 0.243588, 721448
10000, 0.242379, 721448
10000, 0.247310, 721272
10000, 0.244708, 721264
10000, 0.241513, 721372
10000, 0.254291, 721332
10000, 0.240896, 721264
10000, 0.252478, 671912
10000, 0.241864, 721224
10000, 0.241707, 721332
10000, 0.245122, 716404
10000, 0.242716, 721232
10000, 0.262413, 721332
10000, 0.243903, 721372
10000, 0.242417, 721376
10000, 0.243203, 678680
